img,lines
https://assets.passiton.com/quotes/quote_artwork/7677/medium/20240909_monday_quote.jpg,Always be yourself and have faith in yourself. 
https://assets.passiton.com/quotes/quote_artwork/4704/medium/20240906_friday_quote.jpg,"Work hard, be kind, and amazing things will happen. "
https://assets.passiton.com/quotes/quote_artwork/8378/medium/20240905_thursday_quote.jpg,Doing the best at this moment puts you in the best place for the next moment. 
https://assets.passiton.com/quotes/quote_artwork/3549/medium/20240904_wednesday_quote.jpg,"If it wasn't hard, everyone would do it. It's the hard that makes it great. "
https://assets.passiton.com/quotes/quote_artwork/7750/medium/20240903_tuesday_quote.jpg,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work. "
https://assets.passiton.com/quotes/quote_artwork/6188/medium/20240902_monday_quote.jpg,Far and away the best prize that life offers is the chance to work hard at work worth doing.  
https://assets.passiton.com/quotes/quote_artwork/7169/medium/20240830_friday_quote.jpg,"Have patience with all things, but, first of all with yourself. "
https://assets.passiton.com/quotes/quote_artwork/7725/medium/20240829_thursday_quote.jpg,Patience is not simply the ability to wait—it's how we behave while we're waiting.  
https://assets.passiton.com/quotes/quote_artwork/3605/medium/20240828_wednesday_quote.jpg,Patience and tenacity of purpose are worth more than twice their weight of cleverness. 
https://assets.passiton.com/quotes/quote_artwork/3015/medium/20240827_tuesday_quote.jpg,Great difficulties may be surmounted by patience and perseverance. 
https://assets.passiton.com/quotes/quote_artwork/7726/medium/20240826_monday_quote.jpg,Have patience. All things are difficult before they become easy.  
https://assets.passiton.com/quotes/quote_artwork/4043/medium/20240823_friday_quote.jpg,Compassion is the greatest form of love humans have to offer. 
https://assets.passiton.com/quotes/quote_artwork/5157/medium/20240822_thursday_quote.jpg,"What do we live for; if it is not to make life less difficult for each other?
 "
https://assets.passiton.com/quotes/quote_artwork/4435/medium/20240821_wednesday_quote.jpg,"If you are going to be compassionate, be prepared for action! "
https://assets.passiton.com/quotes/quote_artwork/8201/medium/20240820_tuesday_quote.jpg,Compassion for others begins with kindness to ourselves. 
https://assets.passiton.com/quotes/quote_artwork/8089/medium/20240819_monday_quote.jpg,True compassion means not only feeling another's pain but also being moved to help relieve it.  
https://assets.passiton.com/quotes/quote_artwork/8267/medium/20240816_friday_quote.jpg,The best teachers are those who show you where to look but don’t tell you what to see. 
https://assets.passiton.com/quotes/quote_artwork/7664/medium/20240815_thursday_quote.jpg,"One child, one teacher, one book, one pen can change the world. "
https://assets.passiton.com/quotes/quote_artwork/7930/medium/20240814_wednesday_quote.jpg,"Education is the way to move mountains, to build bridges, to change the world. "
https://assets.passiton.com/quotes/quote_artwork/7932/medium/20240813_tuesday_quote.jpg,"Children must be taught how to think, not what to think. "
https://assets.passiton.com/quotes/quote_artwork/6517/medium/20240812_monday_quote.jpg,"The purpose of education is to replace an empty mind with an open one.
 "
https://assets.passiton.com/quotes/quote_artwork/8274/medium/20240809_friday_quote.jpg,Grit is the grain of character. 
https://assets.passiton.com/quotes/quote_artwork/7788/medium/20240808_thursday_quote.jpg,"Above everything else I've done, I've always said I've had more guts than I've got talent. "
https://assets.passiton.com/quotes/quote_artwork/7786/medium/20240807_wednesday_quote.jpg,Every great story happened when someone decided not to give up. 
https://assets.passiton.com/quotes/quote_artwork/7784/medium/20240806_tuesday_quote.jpg,What is grit? Grit is refusing to give up. It’s persistence. It’s making your own luck. 
https://assets.passiton.com/quotes/quote_artwork/3870/medium/20240805_monday_quote.jpg,"We all have dreams. But in order to make dreams come into reality, it takes an awful lot of determination, dedication, self-discipline, and effort. "
https://assets.passiton.com/quotes/quote_artwork/3255/medium/20240802_friday_quote.jpg,Life is an adventure in forgiveness. 
https://assets.passiton.com/quotes/quote_artwork/8365/medium/20240801_thursday_quote.jpg,"Mistakes are always forgivable, if one has the courage to admit them. "
https://assets.passiton.com/quotes/quote_artwork/4448/medium/20240731_wednesday_quote.jpg,"Without forgiveness, there is no future. "
https://assets.passiton.com/quotes/quote_artwork/8206/medium/20240730_tuesday_quote.jpg,"It’s not an easy journey, to get to a place where you forgive people. But it is such a powerful place, because it frees you. "
https://assets.passiton.com/quotes/quote_artwork/7634/medium/20240729_monday_quote.jpg,Forgive yourself for your faults and your mistakes and move on. 
https://assets.passiton.com/quotes/quote_artwork/8393/medium/20240726_friday_quote.jpg,I cannot do all the good that the world needs. But the world needs all the good that I can do. 
https://assets.passiton.com/quotes/quote_artwork/7557/medium/20240725_thursday_quote.jpg,"Caring about the happiness of others, we find our own. "
